adcode,province,city,district,lon,lat
110101,北京市,北京市,东城区,116.416334,39.928359
110102,北京市,北京市,西城区,116.36585,39.9126
110105,北京市,北京市,朝阳区,116.443136,39.921444
110106,北京市,北京市,丰台区,116.286726,39.858538
110107,北京市,北京市,石景山区,116.223015,39.906304
110108,北京市,北京市,海淀区,116.2977,39.959893
110109,北京市,北京市,门头沟区,116.101668,39.940842
110111,北京市,北京市,房山区,116.143426,39.748889
110112,北京市,北京市,通州区,116.72923,39.916403
110113,北京市,北京市,顺义区,116.661474,40.149891
110114,北京市,北京市,昌平区,116.231034,40.220952
110115,北京市,北京市,大兴区,116.341483,39.726917
110116,北京市,北京市,怀柔区,116.631974,40.317003
110117,北京市,北京市,平谷区,117.121589,40.140805
110118,北京市,北京市,密云区,116.843351,40.377058
110119,北京市,北京市,延庆区,115.974609,40.457033
120101,天津市,天津市,和平区,117.214713,39.116884
120102,天津市,天津市,河东区,117.251584,39.128294
120103,天津市,天津市,河西区,117.223379,39.109679
120104,天津市,天津市,南开区,117.150638,39.138551
120105,天津市,天津市,河北区,117.196874,39.148018
120106,天津市,天津市,红桥区,117.151566,39.167349
120110,天津市,天津市,东丽区,117.313567,39.086789
120111,天津市,天津市,西青区,117.008994,39.141811
120112,天津市,天津市,津南区,117.356683,38.936971
120113,天津市,天津市,北辰区,117.135614,39.224638
120114,天津市,天津市,武清区,117.04456,39.384108
120115,天津市,天津市,宝坻区,117.309748,39.717054
120116,天津市,天津市,滨海新区,117.69641,39.017809
120117,天津市,天津市,宁河区,117.826674,39.329749
120118,天津市,天津市,静海区,116.975474,38.947772
120119,天津市,天津市,蓟州区,117.408432,40.046544
130102,河北省,石家庄市,长安区,114.538955,38.03682
130104,河北省,石家庄市,桥西区,114.45004,38.025245
130105,河北省,石家庄市,新华区,114.463904,38.050749
130107,河北省,石家庄市,井陉矿区,114.062258,38.065446
130108,河北省,石家庄市,裕华区,114.531599,38.007002
130109,河北省,石家庄市,藁城区,114.846562,38.022177
130110,河北省,石家庄市,鹿泉区,114.313559,38.086536
130111,河北省,石家庄市,栾城区,114.647922,37.900915
130121,河北省,石家庄市,井陉县,114.145669,38.032366
130123,河北省,石家庄市,正定县,114.57043,38.14699
130125,河北省,石家庄市,行唐县,114.553044,38.437535
130126,河北省,石家庄市,灵寿县,114.383013,38.307908
130127,河北省,石家庄市,高邑县,114.611659,37.615905
130128,河北省,石家庄市,深泽县,115.20089,38.184572
130129,河北省,石家庄市,赞皇县,114.386114,37.666549
130130,河北省,石家庄市,无极县,114.976256,38.178852
130131,河北省,石家庄市,平山县,114.186007,38.260288
130132,河北省,石家庄市,元氏县,114.525508,37.767332
130133,河北省,石家庄市,赵县,114.775914,37.756935
130181,河北省,石家庄市,辛集市,115.217626,37.943239
130183,河北省,石家庄市,晋州市,115.044141,38.033937
130184,河北省,石家庄市,新乐市,114.683745,38.343952
130202,河北省,唐山市,路南区,118.154348,39.624988
130203,河北省,唐山市,路北区,118.201085,39.625079
130204,河北省,唐山市,古冶区,118.447134,39.73392
130205,河北省,唐山市,开平区,118.262246,39.671634
130207,河北省,唐山市,丰南区,118.085169,39.576031
130208,河北省,唐山市,丰润区,118.162426,39.832919
130209,河北省,唐山市,曹妃甸区,118.460197,39.273528
130224,河北省,唐山市,滦南县,118.68363,39.520272
130225,河北省,唐山市,乐亭县,118.91245,39.425748
130227,河北省,唐山市,迁西县,118.31467,40.141486
130229,河北省,唐山市,玉田县,117.738196,39.901827
130281,河北省,唐山市,遵化市,117.965878,40.189119
130283,河北省,唐山市,迁安市,118.701021,39.998861
130284,河北省,唐山市,滦州市,118.70301,39.740963
130302,河北省,秦皇岛市,海港区,119.564962,39.94756
130303,河北省,秦皇岛市,山海关区,119.775187,39.978882
130304,河北省,秦皇岛市,北戴河区,119.48449,39.834912
130306,河北省,秦皇岛市,抚宁区,119.244847,39.876253
130321,河北省,秦皇岛市,青龙满族自治县,118.94985,40.407473
130322,河北省,秦皇岛市,昌黎县,119.199846,39.699677
130324,河北省,秦皇岛市,卢龙县,118.891931,39.892564
130402,河北省,邯郸市,邯山区,114.531062,36.59457
130403,河北省,邯郸市,丛台区,114.492875,36.636434
130404,河北省,邯郸市,复兴区,114.462581,36.638879
130406,河北省,邯郸市,峰峰矿区,114.212571,36.419298
130407,河北省,邯郸市,肥乡区,114.800199,36.548545
130408,河北省,邯郸市,永年区,114.536626,36.74188
130423,河北省,邯郸市,临漳县,114.585514,36.322504
130424,河北省,邯郸市,成安县,114.670094,36.445331
130425,河北省,邯郸市,大名县,115.147985,36.286406
130426,河北省,邯郸市,涉县,113.692157,36.586073
130427,河北省,邯郸市,磁县,114.373965,36.37507
130430,河北省,邯郸市,邱县,115.200049,36.811783
130431,河北省,邯郸市,鸡泽县,114.889951,36.911525
130432,河北省,邯郸市,广平县,114.921185,36.476727
130433,河北省,邯郸市,馆陶县,115.281818,36.548295
130434,河北省,邯郸市,魏县,114.939217,36.35926
130435,河北省,邯郸市,曲周县,114.957549,36.766347
130481,河北省,邯郸市,武安市,114.203685,36.69759
130502,河北省,邢台市,襄都区,114.507443,37.071314
130503,河北省,邢台市,信都区,114.468229,37.093798
130505,河北省,邢台市,任泽区,114.671339,37.121958
130506,河北省,邢台市,南和区,114.683683,37.005626
130522,河北省,邢台市,临城县,114.498651,37.444512
130523,河北省,邢台市,内丘县,114.512226,37.287612
130524,河北省,邢台市,柏乡县,114.693447,37.48288
130525,河北省,邢台市,隆尧县,114.770509,37.351232
130528,河北省,邢台市,宁晋县,114.940006,37.624524
130529,河北省,邢台市,巨鹿县,115.037884,37.221293
130530,河北省,邢台市,新河县,115.251005,37.520891
130531,河北省,邢台市,广宗县,115.142766,37.074795
